date,value_kwh_electric_generation
2025-02-18,9.7
2025-02-19,5.5
2025-02-20,2.4
2025-02-21,5.8
2025-02-22,6
2025-02-23,5.7
2025-02-24,6.4
2025-02-25,6.8
2025-02-26,3.6
2025-02-27,6.6
2025-02-28,12.5
2025-03-01,11.6
2025-03-02,13.1
2025-03-03,14.8
2025-03-04,15.4
2025-03-05,15.1
2025-03-06,14.2
2025-03-07,13.5
2025-03-08,14.3
2025-03-09,14.9
2025-03-10,7.7
2025-03-11,9
2025-03-12,8.9
2025-03-13,7.8
2025-03-14,10.7
2025-03-15,13.6
2025-03-16,17.1
2025-03-17,5.2
2025-03-18,15
2025-03-19,17.1
2025-03-20,17.6
2025-03-21,10.7
2025-03-22,7.9
2025-03-23,5.2
2025-03-24,9.2
2025-03-25,10.5
2025-03-26,14
2025-03-27,21.2
2025-03-28,12.3
2025-03-29,19.9
2025-03-30,21.5
2025-03-31,21.8
2025-04-01,22
2025-04-02,22.7
2025-04-03,19.9
2025-04-04,21
2025-04-05,23.9
2025-04-06,24.3
2025-04-07,24.6
2025-04-08,21.4
2025-04-09,14.1
2025-04-10,19.8
2025-04-11,24.1
2025-04-12,21.2
2025-04-13,15.9
2025-04-14,17.3
2025-04-15,8.3
2025-04-16,24.4
2025-04-17,18.8
2025-04-18,17.2
2025-04-19,20.5
2025-04-20,9.4
2025-04-21,12.7
2025-04-22,23.8
2025-04-23,6.8
2025-04-24,21.1
2025-04-25,22.5
2025-04-26,23.7
2025-04-27,22.1
2025-04-28,28.5
2025-04-29,29.9
2025-04-30,29.2
2025-05-01,25.7
2025-05-02,24.2
2025-05-03,23.5
2025-05-04,19.1
2025-05-05,14.3
2025-05-06,18.2
2025-05-07,20.6
2025-05-08,22.1
2025-05-09,29.9
2025-05-10,31.8
2025-05-11,30.2
2025-05-12,28.9
2025-05-13,31.6
2025-05-14,31.9
2025-05-15,6.8
2025-05-16,31.1
2025-05-17,29.1
2025-05-18,14.5
2025-05-19,24
2025-05-20,28
2025-05-21,18.5
2025-05-22,16.1
2025-05-23,26.1
2025-05-24,14.2
2025-05-25,26.6
2025-05-26,17.5
2025-05-27,12.1
2025-05-28,25.3
2025-05-29,25.8
2025-05-30,24.2
2025-05-31,28.3
2025-06-01,25
2025-06-02,30.8
2025-06-03,12.7
2025-06-04,19.9
2025-06-05,10
2025-06-06,23.8
2025-06-07,16.2
2025-06-08,26.9
2025-06-09,19.8
2025-06-10,17.8
