start_time,type,value_kwh
01/12/2022 00:00,electric_import,0.024
01/12/2022 00:30,electric_import,0.054
01/12/2022 01:00,electric_import,0.059
01/12/2022 01:30,electric_import,0.059
01/12/2022 02:00,electric_import,0.057
01/12/2022 02:30,electric_import,0.055
01/12/2022 03:00,electric_import,0.058
01/12/2022 03:30,electric_import,0.057
01/12/2022 04:00,electric_import,0.055
01/12/2022 04:30,electric_import,0.057
01/12/2022 05:00,electric_import,0.056
01/12/2022 05:30,electric_import,0.056
01/12/2022 06:00,electric_import,0.046
01/12/2022 06:30,electric_import,0.03
01/12/2022 07:00,electric_import,0.03
01/12/2022 07:30,electric_import,0.53
01/12/2022 08:00,electric_import,0.312
01/12/2022 08:30,electric_import,0.31
01/12/2022 09:00,electric_import,0.134
01/12/2022 09:30,electric_import,0.164
01/12/2022 10:00,electric_import,0.646
01/12/2022 10:30,electric_import,0.514
01/12/2022 11:00,electric_import,0.557
01/12/2022 11:30,electric_import,0.704
01/12/2022 12:00,electric_import,0.096
01/12/2022 12:30,electric_import,0.111
01/12/2022 13:00,electric_import,0.058
01/12/2022 13:30,electric_import,0.049
01/12/2022 14:00,electric_import,0.196
01/12/2022 14:30,electric_import,0.079
01/12/2022 15:00,electric_import,0.076
01/12/2022 15:30,electric_import,0.099
01/12/2022 16:00,electric_import,0.121
01/12/2022 16:30,electric_import,0.401
01/12/2022 17:00,electric_import,0.534
01/12/2022 17:30,electric_import,0.224
01/12/2022 18:00,electric_import,0.558
01/12/2022 18:30,electric_import,0.518
01/12/2022 19:00,electric_import,0.144
01/12/2022 19:30,electric_import,0.066
01/12/2022 20:00,electric_import,0.21
01/12/2022 20:30,electric_import,0.177
01/12/2022 21:00,electric_import,0.103
01/12/2022 21:30,electric_import,0.106
01/12/2022 22:00,electric_import,0.102
01/12/2022 22:30,electric_import,0.077
01/12/2022 23:00,electric_import,0.065
01/12/2022 23:30,electric_import,0.06
02/12/2022 00:00,electric_import,0.058
02/12/2022 00:30,electric_import,0.057
02/12/2022 01:00,electric_import,0.057
